sigla_uf,nome_municipio,codigo_ibge,mais_comum,candidaturas,n_mais_comum
AL,SÃO MIGUEL DOS CAMPOS,2708600,VÁRIAS,4,2
AL,SÃO MIGUEL DOS MILAGRES,2708709,VÁRIAS,4,2
AL,SÃO SEBASTIÃO,2708808,PARDA,4,3
AL,SATUBA,2708907,PARDA,2,2
AL,SENADOR RUI PALMEIRA,2708956,VÁRIAS,2,1
AL,TANQUE D'ARCA,2709004,PARDA,5,3
AL,TAQUARANA,2709103,BRANCA,3,2
AL,TEOTÔNIO VILELA,2709152,PARDA,2,2
AL,TRAIPU,2709202,VÁRIAS,4,2
AL,UNIÃO DOS PALMARES,2709301,PARDA,8,7
AL,VIÇOSA,2709400,BRANCA,3,2
AM,ALVARÃES,1300029,PARDA,3,3
AM,AMATURÁ,1300060,PARDA,4,3
AM,ANAMÃ,1300086,PARDA,3,3
AM,ANORI,1300102,VÁRIAS,2,1
AM,APUÍ,1300144,BRANCA,3,3
AM,ATALAIA DO NORTE,1300201,VÁRIAS,3,1
AM,AUTAZES,1300300,BRANCA,4,2
AM,BARCELOS,1300409,VÁRIAS,5,2
AM,BARREIRINHA,1300508,PARDA,3,2
AM,BENJAMIN CONSTANT,1300607,PARDA,5,3
AM,BERURI,1300631,PARDA,8,6
AM,BOA VISTA DO RAMOS,1300680,VÁRIAS,2,1
AM,BOCA DO ACRE,1300706,VÁRIAS,6,3
AM,BORBA,1300805,PARDA,5,4
AM,CAAPIRANGA,1300839,VÁRIAS,2,1
AM,CANUTAMA,1300904,PARDA,3,2
AM,CARAUARI,1301001,PARDA,3,2
AM,CAREIRO,1301100,PARDA,5,3
AM,CAREIRO DA VÁRZEA,1301159,PARDA,5,4
AM,COARI,1301209,PARDA,10,9
AM,CODAJÁS,1301308,PARDA,4,3
AM,EIRUNEPÉ,1301407,VÁRIAS,5,2
AM,ENVIRA,1301506,BRANCA,3,2
AM,FONTE BOA,1301605,PARDA,4,3
AM,GUAJARÁ,1301654,PARDA,3,2
AM,HUMAITÁ,1301704,BRANCA,6,5
AM,IPIXUNA,1301803,PARDA,3,2
AM,IRANDUBA,1301852,PARDA,11,9
AM,ITACOATIARA,1301902,BRANCA,7,4
AM,ITAMARATI,1301951,PARDA,2,2
AM,ITAPIRANGA,1302009,PARDA,3,2
AM,JAPURÁ,1302108,PARDA,4,4
AM,JURUÁ,1302207,PARDA,4,3
AM,JUTAÍ,1302306,VÁRIAS,4,2
