codigo_ibge,candidaturas,nome_municipio,capital,sigla_uf,feminino,masculino,prop_feminino
2708006,6,SANTANA DO IPANEMA,0,AL,1,5,0.16666666666666666
2708105,2,SANTANA DO MUNDAÚ,0,AL,0,2,0
2708204,3,SÃO BRÁS,0,AL,1,2,0.3333333333333333
2708303,3,SÃO JOSÉ DA LAJE,0,AL,2,1,0.6666666666666666
2708402,5,SÃO JOSÉ DA TAPERA,0,AL,1,4,0.2
2708501,3,SÃO LUÍS DO QUITUNDE,0,AL,1,2,0.3333333333333333
2708600,4,SÃO MIGUEL DOS CAMPOS,0,AL,0,4,0
2708709,4,SÃO MIGUEL DOS MILAGRES,0,AL,0,4,0
2708808,4,SÃO SEBASTIÃO,0,AL,0,4,0
2708907,2,SATUBA,0,AL,1,1,0.5
2708956,2,SENADOR RUI PALMEIRA,0,AL,1,1,0.5
2709004,5,TANQUE D'ARCA,0,AL,1,4,0.2
2709103,3,TAQUARANA,0,AL,0,3,0
2709152,2,TEOTÔNIO VILELA,0,AL,0,2,0
2709202,4,TRAIPU,0,AL,1,3,0.25
2709301,8,UNIÃO DOS PALMARES,0,AL,1,7,0.125
2709400,3,VIÇOSA,0,AL,0,3,0
1300029,3,ALVARÃES,0,AM,0,3,0
1300060,4,AMATURÁ,0,AM,0,4,0
1300086,3,ANAMÃ,0,AM,1,2,0.3333333333333333
1300102,2,ANORI,0,AM,1,1,0.5
1300144,3,APUÍ,0,AM,0,3,0
1300201,3,ATALAIA DO NORTE,0,AM,0,3,0
1300300,4,AUTAZES,0,AM,0,4,0
1300409,5,BARCELOS,0,AM,0,5,0
1300508,3,BARREIRINHA,0,AM,0,3,0
1300607,5,BENJAMIN CONSTANT,0,AM,0,5,0
1300631,8,BERURI,0,AM,1,7,0.125
1300680,2,BOA VISTA DO RAMOS,0,AM,0,2,0
1300706,6,BOCA DO ACRE,0,AM,0,6,0
1300805,5,BORBA,0,AM,0,5,0
1300839,2,CAAPIRANGA,0,AM,0,2,0
1300904,3,CANUTAMA,0,AM,0,3,0
1301001,3,CARAUARI,0,AM,0,3,0
1301100,5,CAREIRO,0,AM,1,4,0.2
1301159,5,CAREIRO DA VÁRZEA,0,AM,0,5,0
1301209,10,COARI,0,AM,0,10,0
1301308,4,CODAJÁS,0,AM,0,4,0
1301407,5,EIRUNEPÉ,0,AM,0,5,0
1301506,3,ENVIRA,0,AM,0,3,0
1301605,4,FONTE BOA,0,AM,0,4,0
1301654,3,GUAJARÁ,0,AM,0,3,0
1301704,6,HUMAITÁ,0,AM,0,6,0
1301803,3,IPIXUNA,0,AM,1,2,0.3333333333333333
1301852,11,IRANDUBA,0,AM,1,10,0.09090909090909091
1301902,7,ITACOATIARA,0,AM,1,6,0.14285714285714285
1301951,2,ITAMARATI,0,AM,1,1,0.5
1302009,3,ITAPIRANGA,0,AM,1,2,0.3333333333333333
1302108,4,JAPURÁ,0,AM,1,3,0.25
1302207,4,JURUÁ,0,AM,0,4,0
1302306,4,JUTAÍ,0,AM,1,3,0.25
1302405,3,LÁBREA,0,AM,0,3,0
1302504,5,MANACAPURU,0,AM,0,5,0
1302553,4,MANAQUIRI,0,AM,0,4,0
1302603,11,MANAUS,1,AM,0,11,0
1302702,4,MANICORÉ,0,AM,0,4,0
1302801,6,MARAÃ,0,AM,1,5,0.16666666666666666
1302900,3,MAUÉS,0,AM,0,3,0
1303007,4,NHAMUNDÁ,0,AM,1,3,0.25
1303106,7,NOVA OLINDA DO NORTE,0,AM,0,7,0
1303205,5,NOVO AIRÃO,0,AM,1,4,0.2
1303304,4,NOVO ARIPUANÃ,0,AM,0,4,0
1303403,3,PARINTINS,0,AM,0,3,0
1303502,3,PAUINI,0,AM,1,2,0.3333333333333333
1303536,10,PRESIDENTE FIGUEIREDO,0,AM,2,8,0.2
1303569,2,RIO PRETO DA EVA,0,AM,0,2,0
1303601,7,SANTA ISABEL DO RIO NEGRO,0,AM,1,6,0.14285714285714285
1303700,4,SANTO ANTÔNIO DO IÇÁ,0,AM,0,4,0
1303809,6,SÃO GABRIEL DA CACHOEIRA,0,AM,0,6,0
1303908,4,SÃO PAULO DE OLIVENÇA,0,AM,1,3,0.25
1303957,5,SÃO SEBASTIÃO DO UATUMÃ,0,AM,0,5,0
1304005,5,SILVES,0,AM,0,5,0
1304062,5,TABATINGA,0,AM,1,4,0.2
1304104,2,TAPAUÁ,0,AM,0,2,0
1304203,7,TEFÉ,0,AM,1,6,0.14285714285714285
1304237,4,TONANTINS,0,AM,0,4,0
1304260,3,UARINI,0,AM,1,2,0.3333333333333333
1304302,5,URUCARÁ,0,AM,2,3,0.4
1304401,3,URUCURITUBA,0,AM,0,3,0
1600154,3,ÁGUA BRANCA DO AMAPARI,0,AP,1,2,0.3333333333333333
1600105,3,AMAPÁ,0,AP,0,3,0
1600204,5,CALÇOENE,0,AP,2,3,0.4
1600212,5,CUTIAS,0,AP,0,5,0
1600238,5,FERREIRA GOMES,0,AP,0,5,0
1600253,6,ITAUBAL,0,AP,0,6,0
1600279,5,LARANJAL DO JARI,0,AP,0,5,0
1600303,10,MACAPÁ,1,AP,1,9,0.1
1600402,6,MAZAGÃO,0,AP,0,6,0
1600501,7,OIAPOQUE,0,AP,1,6,0.14285714285714285
1600535,7,PORTO GRANDE,0,AP,0,7,0
1600550,5,PRACUÚBA,0,AP,1,4,0.2
1600600,9,SANTANA,0,AP,1,8,0.1111111111111111
1600055,5,SERRA DO NAVIO,0,AP,1,4,0.2
1600709,4,TARTARUGALZINHO,0,AP,0,4,0
1600808,7,VITÓRIA DO JARI,0,AP,2,5,0.2857142857142857
2900108,2,ABAÍRA,0,BA,0,2,0
2900207,3,ABARÉ,0,BA,1,2,0.3333333333333333
2900306,2,ACAJUTIBA,0,BA,0,2,0
2900355,3,ADUSTINA,0,BA,1,2,0.3333333333333333
2900405,4,ÁGUA FRIA,0,BA,1,3,0.25
2900603,2,AIQUARA,0,BA,0,2,0
2900702,7,ALAGOINHAS,0,BA,0,7,0
2900801,3,ALCOBAÇA,0,BA,0,3,0
2900900,4,ALMADINA,0,BA,1,3,0.25
2901007,2,AMARGOSA,0,BA,1,1,0.5
2901106,5,AMÉLIA RODRIGUES,0,BA,0,5,0
2901155,4,AMÉRICA DOURADA,0,BA,1,3,0.25
2901205,7,ANAGÉ,0,BA,0,7,0
2901304,2,ANDARAÍ,0,BA,0,2,0
2901353,3,ANDORINHA,0,BA,1,2,0.3333333333333333
2901403,3,ANGICAL,0,BA,0,3,0
2901502,2,ANGUERA,0,BA,0,2,0
2901601,2,ANTAS,0,BA,0,2,0
2901700,4,ANTÔNIO CARDOSO,0,BA,1,3,0.25
2901809,3,ANTÔNIO GONÇALVES,0,BA,0,3,0
2901908,3,APORÁ,0,BA,1,2,0.3333333333333333
2901957,2,APUAREMA,0,BA,0,2,0
2902054,4,ARAÇÁS,0,BA,0,4,0
2902005,2,ARACATU,0,BA,1,1,0.5
2902104,3,ARACI,0,BA,1,2,0.3333333333333333
2902203,3,ARAMARI,0,BA,0,3,0
2902252,3,ARATACA,0,BA,2,1,0.6666666666666666
2902302,3,ARATUÍPE,0,BA,0,3,0
2902401,2,AURELINO LEAL,0,BA,0,2,0
2902500,4,BAIANÓPOLIS,0,BA,1,3,0.25
2902609,2,BAIXA GRANDE,0,BA,0,2,0
2902658,2,BANZAÊ,0,BA,1,1,0.5
2902708,4,BARRA,0,BA,1,3,0.25
2902807,3,BARRA DA ESTIVA,0,BA,0,3,0
