sigla_uf,nome_municipio,codigo_ibge,capital,descricao_cor_raca,n,candidaturas
AL,INHAPI,2703304,0,PARDA,1,4
AL,JACARÉ DOS HOMENS,2703403,0,BRANCA,2,2
AL,JACUÍPE,2703502,0,BRANCA,1,3
AL,JACUÍPE,2703502,0,PARDA,2,3
AL,JAPARATINGA,2703601,0,BRANCA,1,3
AL,JAPARATINGA,2703601,0,PARDA,2,3
AL,JARAMATAIA,2703700,0,PARDA,2,2
AL,JEQUIÁ DA PRAIA,2703759,0,BRANCA,3,4
AL,JEQUIÁ DA PRAIA,2703759,0,PARDA,1,4
AL,JOAQUIM GOMES,2703809,0,BRANCA,1,3
AL,JOAQUIM GOMES,2703809,0,PARDA,2,3
AL,JUNDIÁ,2703908,0,PARDA,2,2
AL,JUNQUEIRO,2704005,0,PARDA,2,3
AL,JUNQUEIRO,2704005,0,SEM INFORMAÇÃO,1,3
AL,LAGOA DA CANOA,2704104,0,BRANCA,4,4
AL,LIMOEIRO DE ANADIA,2704203,0,BRANCA,2,3
AL,LIMOEIRO DE ANADIA,2704203,0,PARDA,1,3
AL,MACEIÓ,2704302,1,BRANCA,6,10
AL,MACEIÓ,2704302,1,PARDA,4,10
AL,MAJOR ISIDORO,2704401,0,BRANCA,1,2
AL,MAJOR ISIDORO,2704401,0,PARDA,1,2
AL,MAR VERMELHO,2704906,0,BRANCA,1,2
AL,MAR VERMELHO,2704906,0,PARDA,1,2
AL,MARAGOGI,2704500,0,BRANCA,2,3
AL,MARAGOGI,2704500,0,PARDA,1,3
AL,MARAVILHA,2704609,0,BRANCA,2,3
AL,MARAVILHA,2704609,0,PARDA,1,3
AL,MARECHAL DEODORO,2704708,0,BRANCA,2,2
AL,MARIBONDO,2704807,0,BRANCA,2,2
AL,MATA GRANDE,2705002,0,BRANCA,1,2
AL,MATA GRANDE,2705002,0,PARDA,1,2
AL,MATRIZ DE CAMARAGIBE,2705101,0,BRANCA,1,3
AL,MATRIZ DE CAMARAGIBE,2705101,0,PARDA,2,3
AL,MESSIAS,2705200,0,BRANCA,1,3
AL,MESSIAS,2705200,0,PARDA,2,3
AL,MINADOR DO NEGRÃO,2705309,0,PARDA,2,2
AL,MONTEIRÓPOLIS,2705408,0,BRANCA,2,5
AL,MONTEIRÓPOLIS,2705408,0,PARDA,3,5
AL,MURICI,2705507,0,BRANCA,1,2
AL,MURICI,2705507,0,PARDA,1,2
AL,NOVO LINO,2705606,0,PARDA,2,2
AL,OLHO D'ÁGUA DAS FLORES,2705705,0,BRANCA,2,3
AL,OLHO D'ÁGUA DAS FLORES,2705705,0,PRETA,1,3
AL,OLHO D'ÁGUA DO CASADO,2705804,0,BRANCA,1,2
AL,OLHO D'ÁGUA DO CASADO,2705804,0,PARDA,1,2
AL,OLHO D'ÁGUA GRANDE,2705903,0,BRANCA,3,5
AL,OLHO D'ÁGUA GRANDE,2705903,0,PARDA,2,5
AL,OLIVENÇA,2706000,0,PARDA,2,2
AL,OURO BRANCO,2706109,0,BRANCA,1,4
AL,OURO BRANCO,2706109,0,PARDA,2,4
