sigla_uf,nome_municipio,codigo_ibge,descricao_sexo,capital,n,candidaturas
AL,MARAVILHA,2704609,FEMININO,0,1,1
AL,MARAVILHA,2704609,MASCULINO,0,2,2
AL,MARECHAL DEODORO,2704708,MASCULINO,0,2,2
AL,MARIBONDO,2704807,FEMININO,0,1,1
AL,MARIBONDO,2704807,MASCULINO,0,1,1
AL,MATA GRANDE,2705002,MASCULINO,0,2,2
AL,MATRIZ DE CAMARAGIBE,2705101,MASCULINO,0,3,3
AL,MESSIAS,2705200,MASCULINO,0,3,3
AL,MINADOR DO NEGRÃO,2705309,MASCULINO,0,2,2
AL,MONTEIRÓPOLIS,2705408,MASCULINO,0,5,5
AL,MURICI,2705507,MASCULINO,0,2,2
AL,NOVO LINO,2705606,FEMININO,0,1,1
AL,NOVO LINO,2705606,MASCULINO,0,1,1
AL,OLHO D'ÁGUA DAS FLORES,2705705,MASCULINO,0,3,3
AL,OLHO D'ÁGUA DO CASADO,2705804,MASCULINO,0,2,2
AL,OLHO D'ÁGUA GRANDE,2705903,FEMININO,0,1,1
AL,OLHO D'ÁGUA GRANDE,2705903,MASCULINO,0,4,4
AL,OLIVENÇA,2706000,MASCULINO,0,2,2
AL,OURO BRANCO,2706109,FEMININO,0,1,1
AL,OURO BRANCO,2706109,MASCULINO,0,3,3
AL,PALESTINA,2706208,FEMININO,0,1,1
AL,PALESTINA,2706208,MASCULINO,0,2,2
AL,PALMEIRA DOS ÍNDIOS,2706307,FEMININO,0,2,2
AL,PALMEIRA DOS ÍNDIOS,2706307,MASCULINO,0,1,1
AL,PÃO DE AÇÚCAR,2706406,FEMININO,0,1,1
AL,PÃO DE AÇÚCAR,2706406,MASCULINO,0,3,3
AL,PARICONHA,2706422,FEMININO,0,1,1
AL,PARICONHA,2706422,MASCULINO,0,2,2
AL,PARIPUEIRA,2706448,MASCULINO,0,3,3
AL,PASSO DE CAMARAGIBE,2706505,FEMININO,0,2,2
AL,PASSO DE CAMARAGIBE,2706505,MASCULINO,0,3,3
AL,PAULO JACINTO,2706604,MASCULINO,0,2,2
AL,PENEDO,2706703,FEMININO,0,1,1
AL,PENEDO,2706703,MASCULINO,0,4,4
AL,PIAÇABUÇU,2706802,MASCULINO,0,3,3
AL,PILAR,2706901,MASCULINO,0,3,3
AL,PINDOBA,2707008,MASCULINO,0,2,2
AL,PIRANHAS,2707107,FEMININO,0,1,1
AL,PIRANHAS,2707107,MASCULINO,0,2,2
AL,POÇO DAS TRINCHEIRAS,2707206,FEMININO,0,1,1
AL,POÇO DAS TRINCHEIRAS,2707206,MASCULINO,0,2,2
AL,PORTO CALVO,2707305,FEMININO,0,1,1
AL,PORTO CALVO,2707305,MASCULINO,0,4,4
AL,PORTO DE PEDRAS,2707404,FEMININO,0,1,1
AL,PORTO DE PEDRAS,2707404,MASCULINO,0,1,1
AL,PORTO REAL DO COLÉGIO,2707503,FEMININO,0,1,1
AL,PORTO REAL DO COLÉGIO,2707503,MASCULINO,0,1,1
AL,QUEBRANGULO,2707602,FEMININO,0,1,1
AL,QUEBRANGULO,2707602,MASCULINO,0,1,1
AL,RIO LARGO,2707701,FEMININO,0,1,1
AL,RIO LARGO,2707701,MASCULINO,0,2,2
AL,ROTEIRO,2707800,FEMININO,0,1,1
AL,ROTEIRO,2707800,MASCULINO,0,3,3
AL,SANTA LUZIA DO NORTE,2707909,FEMININO,0,1,1
AL,SANTA LUZIA DO NORTE,2707909,MASCULINO,0,1,1
AL,SANTANA DO IPANEMA,2708006,FEMININO,0,1,1
AL,SANTANA DO IPANEMA,2708006,MASCULINO,0,5,5
AL,SANTANA DO MUNDAÚ,2708105,MASCULINO,0,2,2
AL,SÃO BRÁS,2708204,FEMININO,0,1,1
AL,SÃO BRÁS,2708204,MASCULINO,0,2,2
AL,SÃO JOSÉ DA LAJE,2708303,FEMININO,0,2,2
AL,SÃO JOSÉ DA LAJE,2708303,MASCULINO,0,1,1
AL,SÃO JOSÉ DA TAPERA,2708402,FEMININO,0,1,1
AL,SÃO JOSÉ DA TAPERA,2708402,MASCULINO,0,4,4
AL,SÃO LUÍS DO QUITUNDE,2708501,FEMININO,0,1,1
AL,SÃO LUÍS DO QUITUNDE,2708501,MASCULINO,0,2,2
AL,SÃO MIGUEL DOS CAMPOS,2708600,MASCULINO,0,4,4
AL,SÃO MIGUEL DOS MILAGRES,2708709,MASCULINO,0,4,4
AL,SÃO SEBASTIÃO,2708808,MASCULINO,0,4,4
AL,SATUBA,2708907,FEMININO,0,1,1
AL,SATUBA,2708907,MASCULINO,0,1,1
AL,SENADOR RUI PALMEIRA,2708956,FEMININO,0,1,1
AL,SENADOR RUI PALMEIRA,2708956,MASCULINO,0,1,1
AL,TANQUE D'ARCA,2709004,FEMININO,0,1,1
AL,TANQUE D'ARCA,2709004,MASCULINO,0,4,4
AL,TAQUARANA,2709103,MASCULINO,0,3,3
AL,TEOTÔNIO VILELA,2709152,MASCULINO,0,2,2
AL,TRAIPU,2709202,FEMININO,0,1,1
AL,TRAIPU,2709202,MASCULINO,0,3,3
AL,UNIÃO DOS PALMARES,2709301,FEMININO,0,1,1
AL,UNIÃO DOS PALMARES,2709301,MASCULINO,0,7,7
AL,VIÇOSA,2709400,MASCULINO,0,3,3
AM,ALVARÃES,1300029,MASCULINO,0,3,3
AM,AMATURÁ,1300060,MASCULINO,0,4,4
AM,ANAMÃ,1300086,FEMININO,0,1,1
AM,ANAMÃ,1300086,MASCULINO,0,2,2
AM,ANORI,1300102,FEMININO,0,1,1
AM,ANORI,1300102,MASCULINO,0,1,1
AM,APUÍ,1300144,MASCULINO,0,3,3
AM,ATALAIA DO NORTE,1300201,MASCULINO,0,3,3
AM,AUTAZES,1300300,MASCULINO,0,4,4
AM,BARCELOS,1300409,MASCULINO,0,5,5
AM,BARREIRINHA,1300508,MASCULINO,0,3,3
AM,BENJAMIN CONSTANT,1300607,MASCULINO,0,5,5
AM,BERURI,1300631,FEMININO,0,1,1
AM,BERURI,1300631,MASCULINO,0,7,7
AM,BOA VISTA DO RAMOS,1300680,MASCULINO,0,2,2
AM,BOCA DO ACRE,1300706,MASCULINO,0,6,6
AM,BORBA,1300805,MASCULINO,0,5,5
AM,CAAPIRANGA,1300839,MASCULINO,0,2,2
AM,CANUTAMA,1300904,MASCULINO,0,3,3
AM,CARAUARI,1301001,MASCULINO,0,3,3
AM,CAREIRO,1301100,FEMININO,0,1,1
AM,CAREIRO,1301100,MASCULINO,0,4,4
AM,CAREIRO DA VÁRZEA,1301159,MASCULINO,0,5,5
AM,COARI,1301209,MASCULINO,0,10,10
AM,CODAJÁS,1301308,MASCULINO,0,4,4
AM,EIRUNEPÉ,1301407,MASCULINO,0,5,5
AM,ENVIRA,1301506,MASCULINO,0,3,3
AM,FONTE BOA,1301605,MASCULINO,0,4,4
AM,GUAJARÁ,1301654,MASCULINO,0,3,3
AM,HUMAITÁ,1301704,MASCULINO,0,6,6
AM,IPIXUNA,1301803,FEMININO,0,1,1
AM,IPIXUNA,1301803,MASCULINO,0,2,2
AM,IRANDUBA,1301852,FEMININO,0,1,1
AM,IRANDUBA,1301852,MASCULINO,0,10,10
AM,ITACOATIARA,1301902,FEMININO,0,1,1
