codigo_ibge,candidaturas,sigla_uf,BRANCA,PARDA,PRETA,INDÍGENA,SEM INFORMAÇÃO,AMARELA
1301704,6,AM,5,1,0,0,0,0
1301803,3,AM,1,2,0,0,0,0
1301852,11,AM,2,9,0,0,0,0
1301902,7,AM,4,3,0,0,0,0
1301951,2,AM,0,2,0,0,0,0
1302009,3,AM,1,2,0,0,0,0
1302108,4,AM,0,4,0,0,0,0
1302207,4,AM,1,3,0,0,0,0
1302306,4,AM,2,2,0,0,0,0
1302405,3,AM,1,1,1,0,0,0
1302504,5,AM,0,5,0,0,0,0
1302553,4,AM,2,2,0,0,0,0
1302603,11,AM,5,5,1,0,0,0
1302702,4,AM,1,3,0,0,0,0
1302801,6,AM,0,5,1,0,0,0
1302900,3,AM,1,2,0,0,0,0
1303007,4,AM,0,4,0,0,0,0
1303106,7,AM,2,5,0,0,0,0
1303205,5,AM,0,5,0,0,0,0
1303304,4,AM,1,3,0,0,0,0
1303403,3,AM,1,2,0,0,0,0
1303502,3,AM,2,1,0,0,0,0
1303536,10,AM,5,4,0,0,0,1
1303569,2,AM,0,2,0,0,0,0
1303601,7,AM,2,3,0,2,0,0
1303700,4,AM,1,3,0,0,0,0
1303809,6,AM,2,0,0,4,0,0
1303908,4,AM,0,3,1,0,0,0
1303957,5,AM,1,4,0,0,0,0
1304005,5,AM,0,5,0,0,0,0
1304062,5,AM,2,3,0,0,0,0
1304104,2,AM,0,2,0,0,0,0
1304203,7,AM,3,4,0,0,0,0
1304237,4,AM,1,3,0,0,0,0
1304260,3,AM,1,2,0,0,0,0
1304302,5,AM,1,4,0,0,0,0
1304401,3,AM,0,3,0,0,0,0
1600154,3,AP,1,2,0,0,0,0
1600105,3,AP,2,1,0,0,0,0
1600204,5,AP,2,2,1,0,0,0
1600212,5,AP,0,5,0,0,0,0
1600238,5,AP,0,4,1,0,0,0
1600253,6,AP,0,3,3,0,0,0
1600279,5,AP,1,3,1,0,0,0
1600303,10,AP,3,6,1,0,0,0
1600402,6,AP,0,4,2,0,0,0
1600501,7,AP,1,2,3,1,0,0
1600535,7,AP,2,5,0,0,0,0
1600550,5,AP,1,3,0,0,1,0
1600600,9,AP,2,6,0,0,1,0
1600055,5,AP,1,4,0,0,0,0
1600709,4,AP,1,3,0,0,0,0
1600808,7,AP,3,4,0,0,0,0
2900108,2,BA,1,1,0,0,0,0
2900207,3,BA,0,2,1,0,0,0
2900306,2,BA,0,2,0,0,0,0
2900355,3,BA,3,0,0,0,0,0
2900405,4,BA,1,1,2,0,0,0
2900603,2,BA,0,2,0,0,0,0
2900702,7,BA,1,4,2,0,0,0
2900801,3,BA,1,2,0,0,0,0
2900900,4,BA,2,2,0,0,0,0
2901007,2,BA,1,1,0,0,0,0
2901106,5,BA,1,3,1,0,0,0
2901155,4,BA,1,2,1,0,0,0
2901205,7,BA,2,4,1,0,0,0
2901304,2,BA,1,1,0,0,0,0
2901353,3,BA,3,0,0,0,0,0
2901403,3,BA,1,1,1,0,0,0
2901502,2,BA,0,2,0,0,0,0
2901601,2,BA,1,1,0,0,0,0
2901700,4,BA,2,1,1,0,0,0
2901809,3,BA,1,1,1,0,0,0
2901908,3,BA,0,3,0,0,0,0
2901957,2,BA,0,2,0,0,0,0
2902054,4,BA,2,1,1,0,0,0
2902005,2,BA,1,1,0,0,0,0
2902104,3,BA,2,1,0,0,0,0
2902203,3,BA,0,3,0,0,0,0
2902252,3,BA,1,2,0,0,0,0
2902302,3,BA,1,0,2,0,0,0
2902401,2,BA,0,2,0,0,0,0
2902500,4,BA,0,4,0,0,0,0
2902609,2,BA,2,0,0,0,0,0
2902658,2,BA,0,2,0,0,0,0
2902708,4,BA,2,2,0,0,0,0
2902807,3,BA,1,2,0,0,0,0
2902906,4,BA,1,2,1,0,0,0
2903003,2,BA,1,1,0,0,0,0
2903102,2,BA,1,1,0,0,0,0
2903201,4,BA,1,3,0,0,0,0
2903235,2,BA,1,1,0,0,0,0
2903300,2,BA,0,1,1,0,0,0
2903276,2,BA,1,1,0,0,0,0
2903409,3,BA,0,3,0,0,0,0
2903508,3,BA,1,2,0,0,0,0
2903607,5,BA,0,5,0,0,0,0
2903706,4,BA,2,1,1,0,0,0
2903805,4,BA,0,3,1,0,0,0
2903904,3,BA,0,3,0,0,0,0
2903953,3,BA,0,3,0,0,0,0
2904001,3,BA,2,1,0,0,0,0
2904050,2,BA,1,1,0,0,0,0
2904100,3,BA,2,1,0,0,0,0
2904209,2,BA,1,0,0,0,0,1
2904308,5,BA,4,1,0,0,0,0
2904407,2,BA,1,1,0,0,0,0
2904506,4,BA,2,2,0,0,0,0
2904605,4,BA,2,1,0,0,1,0
2904704,2,BA,0,2,0,0,0,0
2904753,4,BA,0,4,0,0,0,0
2904803,2,BA,1,1,0,0,0,0
2904852,4,BA,3,1,0,0,0,0
2904902,5,BA,1,2,2,0,0,0
2905008,2,BA,2,0,0,0,0,0
2905107,2,BA,2,0,0,0,0,0
2905156,3,BA,2,1,0,0,0,0
2905206,4,BA,3,1,0,0,0,0
2905305,2,BA,1,0,1,0,0,0
2905404,4,BA,1,3,0,0,0,0
2905503,3,BA,1,2,0,0,0,0
2905602,3,BA,1,2,0,0,0,0
2905701,11,BA,2,7,2,0,0,0
2905800,2,BA,1,1,0,0,0,0
2905909,3,BA,1,2,0,0,0,0
2906006,2,BA,2,0,0,0,0,0
2906105,3,BA,1,1,0,0,0,1
2906204,3,BA,1,2,0,0,0,0
2906303,3,BA,1,2,0,0,0,0
2906402,3,BA,1,1,1,0,0,0
2906501,8,BA,0,7,1,0,0,0
2906600,3,BA,2,1,0,0,0,0
2906709,6,BA,0,6,0,0,0,0
2906808,4,BA,2,2,0,0,0,0
2906824,4,BA,1,3,0,0,0,0
2906857,2,BA,0,2,0,0,0,0
2906873,3,BA,1,2,0,0,0,0
2906899,3,BA,0,3,0,0,0,0
2906907,4,BA,2,0,1,0,1,0
2907004,2,BA,1,1,0,0,0,0
2907103,4,BA,2,1,1,0,0,0
2907202,5,BA,2,2,0,0,1,0
2907301,3,BA,0,0,2,0,0,1
2907400,2,BA,1,1,0,0,0,0
2907509,6,BA,4,1,1,0,0,0
2907558,2,BA,1,0,0,0,1,0
2907608,5,BA,0,3,1,0,0,1
2907707,3,BA,0,3,0,0,0,0
2907806,3,BA,1,2,0,0,0,0
2907905,4,BA,2,2,0,0,0,0
2908002,5,BA,1,3,1,0,0,0
2908101,2,BA,2,0,0,0,0,0
2908200,4,BA,2,1,1,0,0,0
2908309,2,BA,1,1,0,0,0,0
2908408,3,BA,1,2,0,0,0,0
2908507,7,BA,1,5,1,0,0,0
2908606,3,BA,1,1,0,0,1,0
2908705,2,BA,1,0,1,0,0,0
2908804,2,BA,0,2,0,0,0,0
2908903,5,BA,2,1,2,0,0,0
2909000,2,BA,1,1,0,0,0,0
2909109,2,BA,0,1,0,0,0,1
2909208,2,BA,1,1,0,0,0,0
2909307,8,BA,0,6,2,0,0,0
2909406,3,BA,2,1,0,0,0,0
2909505,2,BA,1,1,0,0,0,0
2909604,2,BA,1,1,0,0,0,0
2909703,4,BA,2,2,0,0,0,0
2909802,3,BA,2,1,0,0,0,0
2909901,3,BA,0,1,1,0,1,0
2910008,4,BA,1,3,0,0,0,0
2910057,7,BA,4,1,2,0,0,0
2910107,2,BA,1,1,0,0,0,0
2910206,2,BA,1,1,0,0,0,0
2910305,3,BA,1,1,1,0,0,0
2910404,3,BA,1,2,0,0,0,0
2910503,6,BA,2,1,3,0,0,0
2900504,2,BA,1,1,0,0,0,0
2910602,3,BA,1,2,0,0,0,0
2910701,3,BA,2,1,0,0,0,0
2910727,5,BA,2,3,0,0,0,0
2910750,2,BA,0,2,0,0,0,0
2910776,2,BA,1,1,0,0,0,0
2910800,10,BA,4,5,1,0,0,0
2910859,4,BA,3,1,0,0,0,0
2910909,4,BA,0,3,1,0,0,0
2911006,2,BA,0,2,0,0,0,0
2911105,3,BA,1,2,0,0,0,0
2911204,3,BA,0,2,1,0,0,0
2911253,3,BA,0,3,0,0,0,0
2911303,2,BA,2,0,0,0,0,0
2911402,3,BA,1,2,0,0,0,0
2911501,4,BA,1,3,0,0,0,0
2911600,4,BA,0,2,2,0,0,0
2911659,2,BA,0,2,0,0,0,0
2911709,3,BA,3,0,0,0,0,0
2911808,5,BA,3,2,0,0,0,0
2911857,2,BA,0,2,0,0,0,0
2911907,4,BA,1,1,1,0,1,0
2912004,4,BA,1,3,0,0,0,0
2912103,5,BA,1,4,0,0,0,0
2912202,2,BA,1,0,0,0,1,0
2912301,2,BA,0,2,0,0,0,0
2912400,3,BA,0,2,1,0,0,0
2912509,2,BA,2,0,0,0,0,0
2912608,2,BA,0,2,0,0,0,0
2912707,2,BA,0,2,0,0,0,0
2912806,3,BA,2,1,0,0,0,0
2912905,4,BA,1,3,0,0,0,0
2913002,2,BA,0,2,0,0,0,0
2913101,2,BA,2,0,0,0,0,0
2913200,2,BA,0,1,0,0,1,0
2913309,3,BA,3,0,0,0,0,0
2913408,2,BA,2,0,0,0,0,0
2913457,4,BA,0,3,1,0,0,0
2913507,3,BA,1,2,0,0,0,0
2913606,8,BA,2,4,1,0,1,0
2913705,3,BA,1,2,0,0,0,0
2913804,3,BA,0,2,1,0,0,0
2913903,8,BA,3,4,1,0,0,0
2914000,3,BA,1,2,0,0,0,0
2914109,2,BA,0,2,0,0,0,0
2914208,2,BA,0,2,0,0,0,0
2914307,3,BA,0,3,0,0,0,0
2914406,2,BA,0,2,0,0,0,0
2914505,5,BA,1,3,1,0,0,0
2914604,4,BA,1,2,1,0,0,0
2914653,2,BA,1,1,0,0,0,0
2914703,4,BA,3,1,0,0,0,0
2914802,11,BA,3,6,2,0,0,0
2914901,5,BA,1,2,2,0,0,0
2915007,2,BA,1,1,0,0,0,0
2915106,3,BA,0,2,1,0,0,0
2915205,6,BA,3,3,0,0,0,0
2915304,3,BA,0,2,1,0,0,0
2915353,3,BA,0,3,0,0,0,0
2915403,2,BA,2,0,0,0,0,0
2915502,3,BA,1,2,0,0,0,0
2915601,6,BA,1,5,0,0,0,0
2915700,2,BA,0,2,0,0,0,0
2915809,5,BA,2,1,1,0,1,0
2915908,4,BA,1,2,1,0,0,0
2916005,3,BA,3,0,0,0,0,0
2916104,3,BA,0,2,1,0,0,0
2916203,2,BA,1,1,0,0,0,0
2916302,3,BA,1,2,0,0,0,0
2916401,5,BA,0,5,0,0,0,0
2916500,2,BA,1,1,0,0,0,0
2916609,3,BA,0,3,0,0,0,0
2916708,3,BA,0,3,0,0,0,0
2916807,4,BA,0,4,0,0,0,0
2916856,2,BA,1,1,0,0,0,0
2916906,2,BA,2,0,0,0,0,0
2917003,3,BA,0,3,0,0,0,0
2917102,3,BA,0,3,0,0,0,0
2917201,4,BA,2,2,0,0,0,0
2917300,3,BA,1,2,0,0,0,0
2917334,2,BA,0,1,1,0,0,0
2917359,2,BA,0,2,0,0,0,0
2917409,2,BA,0,2,0,0,0,0
2917508,3,BA,1,1,1,0,0,0
2917607,4,BA,1,3,0,0,0,0
2917706,2,BA,1,0,1,0,0,0
2917805,2,BA,0,2,0,0,0,0
2917904,3,BA,1,2,0,0,0,0
2918001,6,BA,4,2,0,0,0,0
2918100,2,BA,0,2,0,0,0,0
2918209,2,BA,0,2,0,0,0,0
2918308,2,BA,0,2,0,0,0,0
2918357,2,BA,0,2,0,0,0,0
2918407,6,BA,2,3,1,0,0,0
2918456,2,BA,0,2,0,0,0,0
2918506,2,BA,1,1,0,0,0,0
2918555,2,BA,1,1,0,0,0,0
2918605,3,BA,2,1,0,0,0,0
2918704,2,BA,0,1,1,0,0,0
2918803,2,BA,1,1,0,0,0,0
2918902,3,BA,2,1,0,0,0,0
2919009,3,BA,1,2,0,0,0,0
2919058,2,BA,0,1,1,0,0,0
2918753,3,BA,0,2,1,0,0,0
2919108,3,BA,0,3,0,0,0,0
2919157,2,BA,0,2,0,0,0,0
2919207,6,BA,3,1,2,0,0,0
2919306,3,BA,0,3,0,0,0,0
2919405,1,BA,1,0,0,0,0,0
2919504,3,BA,2,0,0,0,0,1
2919553,3,BA,3,0,0,0,0,0
2919603,2,BA,2,0,0,0,0,0
2919702,4,BA,1,3,0,0,0,0
2919801,3,BA,0,3,0,0,0,0
2919900,3,BA,1,2,0,0,0,0
2919926,2,BA,1,0,1,0,0,0
2919959,2,BA,1,1,0,0,0,0
2920007,2,BA,1,1,0,0,0,0
2920106,2,BA,0,2,0,0,0,0
2920205,2,BA,0,2,0,0,0,0
2920304,2,BA,1,1,0,0,0,0
2920403,4,BA,2,2,0,0,0,0
2920452,4,BA,0,4,0,0,0,0
2920502,4,BA,1,3,0,0,0,0
2920601,6,BA,1,2,3,0,0,0
2920700,3,BA,1,2,0,0,0,0
2920809,4,BA,1,2,1,0,0,0
2920908,3,BA,0,3,0,0,0,0
2921005,4,BA,0,4,0,0,0,0
2921054,2,BA,2,0,0,0,0,0
2921104,4,BA,2,2,0,0,0,0
2921203,3,BA,2,1,0,0,0,0
2921302,3,BA,1,2,0,0,0,0
2921401,5,BA,1,3,0,0,0,1
2921450,2,BA,2,0,0,0,0,0
2921500,2,BA,1,1,0,0,0,0
2921609,2,BA,1,1,0,0,0,0
2921708,4,BA,2,1,1,0,0,0
2921807,2,BA,2,0,0,0,0,0
2921906,3,BA,0,3,0,0,0,0
2922003,7,BA,3,3,1,0,0,0
2922052,2,BA,0,2,0,0,0,0
2922102,2,BA,1,1,0,0,0,0
2922201,2,BA,0,2,0,0,0,0
2922250,2,BA,1,1,0,0,0,0
2922300,4,BA,0,3,1,0,0,0
2922409,4,BA,2,2,0,0,0,0
2922508,5,BA,1,3,1,0,0,0
2922607,3,BA,1,2,0,0,0,0
2922656,5,BA,4,1,0,0,0,0
2922706,5,BA,3,2,0,0,0,0
2922730,2,BA,1,1,0,0,0,0
2922755,2,BA,0,2,0,0,0,0
2922805,2,BA,0,2,0,0,0,0
2922854,4,BA,1,2,1,0,0,0
2922904,4,BA,1,3,0,0,0,0
2923001,5,BA,3,2,0,0,0,0
2923035,2,BA,1,1,0,0,0,0
2923050,2,BA,1,1,0,0,0,0
2923100,3,BA,1,2,0,0,0,0
2923209,2,BA,0,2,0,0,0,0
2923308,2,BA,1,1,0,0,0,0
2923357,2,BA,0,2,0,0,0,0
2923407,4,BA,2,2,0,0,0,0
2923506,4,BA,0,3,1,0,0,0
2923605,3,BA,2,1,0,0,0,0
2923704,2,BA,0,2,0,0,0,0
2923803,2,BA,1,1,0,0,0,0
2923902,4,BA,0,3,1,0,0,0
2924009,6,BA,2,4,0,0,0,0
2924058,3,BA,0,3,0,0,0,0
2924108,2,BA,2,0,0,0,0,0
2924207,2,BA,1,1,0,0,0,0
2924306,2,BA,1,1,0,0,0,0
2924405,2,BA,2,0,0,0,0,0
2924504,2,BA,0,2,0,0,0,0
2924603,3,BA,2,1,0,0,0,0
2924652,2,BA,0,2,0,0,0,0
2924678,2,BA,1,1,0,0,0,0
2924702,3,BA,2,1,0,0,0,0
2924801,2,BA,0,2,0,0,0,0
